title,year_of_release,film_genre,runtime,country_of_origin,city_1,country_1,fulladdress_1,Latitude_1,Longitude_1,city_2,country_2,fulladdress_2,Latitude_2,Longitude_2,city_3,country_3,fulladdress_3,Latitude_3,Longitude_3,city_4,country_4,fulladdress_4,Latitude_4,Longitude_5,city_5,country_5,fulladdress_5,poster_url
Barcelona: A Love Untold,2016.0,"Drama, Romance",132.0,Philippines,Barcelona,Spain,Barcelona Spain,41.3874374,2.1686496,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/dY1GE16jog0IbwFzLPCKAxY5tWE.jpg
Imagine You & Me,2016.0,"Comedy, Romance",120.0,Philippines,Como,Italy,Como Italy,45.8063817,9.0851867,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/2ns74IMNBdqBpGcjN4FiTjkt9xy.jpg
"Hello, Love, Again",2024.0,"Romance, Drama",122.0,Philippines,"Calgary, Alberta",Canada,"Calgary, Alberta Canada",51.0447331,-114.0718831,,, ,,,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/7R940b9RNNKLDrAI1GmCjOd5ta.jpg
Suddenly It's Magic,2012.0,"Comedy, Drama, Romance",110.0,Philippines,Bangkok,Thailand,Bangkok Thailand,13.7563309,100.5017651,,, ,,,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/mKdtQqlpxrGZKRs3b4yAOeMq5hc.jpg
Milan,2004.0,"Drama, Romance",130.0,Philippines,Milan,Italy,Milan Italy,45.468503,9.1824027,Venice,Italy,Venice Italy,45.440379,12.3159547,Rome,Italy,Rome Italy,41.8967068,12.4822025,Florence,Italy,Florence Italy,43.7699685,11.2576706,,, ,https://image.tmdb.org/t/p/w500/3o0p8UtdbHxZIseaBsK8OwSy8og.jpg
American Adobo,2001.0,"Comedy, Romance",104.0,Philippines,"Manhattan, New York",USA,"Manhattan, New York USA",40.7685167,-73.9821938,"Brooklyn, New York",USA,"Brooklyn, New York USA",40.6781784,-73.9441579,"Queens, New York",USA,"Queens, New York USA",40.7432847,-73.8549518,"Long Island, New York",USA,"Long Island, New York USA",40.789142,-73.134961,,, ,https://image.tmdb.org/t/p/w500/jI3dYdUOnvnUrVG4qOLG9x9VteV.jpg
"Hello, Love, Goodbye",2019.0,"Romance, Drama",118.0,Philippines,,Hong Kong, Hong Kong,22.3193039,114.1693611,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/sJFouUfCgHFSUh5OKVSQBSfrfA1.jpg
Tokyo Nights,2025.0,"Drama, Romance",70.0,Philippines,Tokyo,Japan,Tokyo Japan,35.6764225,139.650027,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/ihLFcDHv0PdSscrdLFoFtgo6QkH.jpg
One Hit Wonder,2025.0,"Romance, Music, Drama",112.0,Philippines,,USA, USA,38.7945952,-106.5348379,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/kdHEtyOoB8cyFDwqFMMGK1q0RlM.jpg
Kita Kita,2017.0,"Comedy, Romance, Drama",84.0,Philippines,"Sapporo, Hokkaido",Japan,"Sapporo, Hokkaido Japan",43.0617713,141.3544506,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/8pPcBBiQ1XdHTcRBgU8WrHkiGEv.jpg
Nothing Like Paris,2023.0,"Romance, Drama",98.0,Philippines,Paris,France,Paris France,48.8575475,2.3513765,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/mfES6wdU3KpwOF0FYgcC0Ao631p.jpg
Dubai,2005.0,"Drama, Romance",110.0,Philippines,Dubai,United Arab Emirates,Dubai United Arab Emirates,25.2048493,55.2707828,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/bjJaU5ZOvCEqP7H8wNy8u172lPK.jpg
Un/Happy for You,2024.0,"Romance, Drama",110.0,Philippines,New York,USA,New York USA,40.7127753,-74.0059728,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/wQ80tPzGP5gnrtoXV9JFWVlQVJL.jpg
Labyu with an Accent,2022.0,"Comedy, Romance",121.0,Philippines,"Los Angeles, California",USA,"Los Angeles, California USA",34.0549076,-118.242643,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/8ymygxi3GzxM6vjppE7eDbT6VX1.jpg
Ignatius of Loyola,2016.0,"Action, Drama, History, Romance, War",118.0,Philippines,Navarra,Spain,Navarra Spain,42.6953909,-1.6760691,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/g8aEK9XPpnTk7aPF3Lr4Npzsb2p.jpg
#WalangForever,2015.0,"Drama, Romance, Comedy",119.0,Philippines,Taipei,Taiwan,Taipei Taiwan,25.0329636,121.5654268,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/5yUR5cSUL6htDAs6B4cz8PLAAtA.jpg
The Fabulous Filipino Brothers,2021.0,"Comedy, Romance",99.0,Philippines,"Pittsburg, California",USA,"Pittsburg, California USA",38.0279762,-121.8846806,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/a2KwBZqjyhBmWFmifZWJS8UO2M1.jpg
Miss You Like Crazy,2010.0,"Drama, Romance",153.0,Philippines,Kuala Lumpur,Malaysia,Kuala Lumpur Malaysia,3.1319197,101.6840589,Putrajaya,Malaysia,Putrajaya Malaysia,2.926361,101.696445,Sepang,Malaysia,Sepang Malaysia,2.8059607,101.7352881,,, ,,,,, ,https://image.tmdb.org/t/p/w500/cjXvX2c9vD8AXMejYFuJ4EDgvfN.jpg
Just a Stranger,2019.0,"Romance, Drama",117.0,Philippines,Lisbon,Portugal,Lisbon Portugal,38.7222524,-9.1393366,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/bQA7N9iBAtL5ws5DdvEwm0FYrBA.jpg
That Thing Called Tadhana,2015.0,Romance,110.0,Philippines,Rome,Italy,Rome Italy,41.8967068,12.4822025,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/fjzwktG6MWbuUQ80XXkdIXPC03G.jpg
Under Parallel Skies,2024.0,"Romance, Drama",110.0,Philippines,,Hong Kong, Hong Kong,22.3193039,114.1693611,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/7XOwbJSM36zWGGaJCJgj0SytvkE.jpg
Through Night and Day,2018.0,"Drama, Romance",100.0,Philippines,,Iceland, Iceland,64.963051,-19.020835,,, ,,,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/F5lAWeD2CaLgQRmzbc70L1xKUY.jpg
Between Maybes,2019.0,"Drama, Romance",107.0,Philippines,Saga Prefecture,Japan,Saga Prefecture Japan,33.3078371,130.2271243,,, ,,,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/zgaRu1fNiMF3axvlOLh3Nns8UIG.jpg
All of You,2017.0,"Comedy, Romance, Drama",103.0,Philippines,,Taiwan, Taiwan,23.69781,120.960515,,, ,,,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/bTaCIwYmJjU4eJcmAwTzjsT6pgM.jpg
Seoul Mates,2014.0,"Romance, Comedy, Drama",115.0,Philippines,Seoul,South Korea,Seoul South Korea,37.550263,126.9970831,,, ,,,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/xzjo1uMOSUzfAQfPj2lvaOGyQcl.jpg
To Russia with Love,2022.0,"Romance, Comedy",115.0,Philippines,Moscow,Russia,Moscow Russia,55.7568721,37.6150527,,, ,,,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/sDXgBsRpz18TeL9tcfQX5v2MJOb.jpg
Maple Leaf Dreams,2024.0,"Romance, Drama, Family",101.0,Philippines,Toronto,Canada,Toronto Canada,43.6548253,-79.388447,Ontario,Canada,Ontario Canada,51.253775,-85.3232139,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/bcUiNoYvVuitwJ1kK5NnnK9xqrh.jpg
Never Not Love You,2018.0,"Romance, Drama",105.0,Philippines,London,UK,London UK,51.5072178,-0.1275862,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/rBzExQkeOGrZWbMZ3AIcTYSXm57.jpg
Meet Me in St. Gallen,2018.0,"Drama, Romance",94.0,Philippines,St. Gallen,Switzerland,St. Gallen Switzerland,47.4244818,9.3767173,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/kZJEQFk6eiZ9X2x70ve6R1dczus.jpg
When I Met You In Tokyo,2023.0,"Romance, Drama",123.0,Philippines,Tokyo,Japan,Tokyo Japan,35.6764225,139.650027,,, ,,,,, ,,,,, ,,,,, ,https://image.tmdb.org/t/p/w500/oqq5qODivpqsL9vvxkTi5j7SNDh.jpg
It Takes a Man and a Woman,2013.0,"Comedy, Drama, Romance",120.0,Philippines,,Canada, Canada,56.130366,-106.346771,New York,USA,New York USA,40.7127753,-74.0059728,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/1KvKVI9bTAgvYDHZO6QkCPXF7uD.jpg
Northern Lights: A Journey to Love,2017.0,"Romance, Drama",100.0,Philippines,Queenstown,New Zealand,Queenstown New Zealand,-45.0301511,168.6615141,,, ,,,,, ,,,,, ,,,,,,https://image.tmdb.org/t/p/w500/o1qi8MC25BmOcJcy8UIH2deb8e.jpg
,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
,,,,,,,,,,,, ,,,,, ,,,,, ,,,,,,
,,,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,
,,,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,
,,,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,
