title,year_of_release,film_genre,runtime,country_of_origin,city_1,country_1,fulladdress_1,Latitude_1,Longitude_1,city_2,country_2,fulladdress_2,Latitude_2,Longitude_2,city_3,country_3,fulladdress_3,Latitude_3,Longitude_3,city_4,country_4,fulladdress_4,Latitude_4,Longitude_4,city_5,country_5,fulladdress_5,Latitude_5,Longitude_5
After We Fell,2021,"Drama, Romance",99,United States,Sofia,Bulgaria,Sofia Bulgaria,42.6977082,23.3218675,,, ,,,,, ,,,,, ,,,,, ,,
Hamnet,2025,"Drama, Romance, History",125,United States,Herefordshire,United Kingdom,Herefordshire United Kingdom,52.0765164,-2.6544182,Gloucestershire,United Kingdom,Gloucestershire United Kingdom,51.746774,-2.2257856,Hertfordshire,United Kingdom,Hertfordshire United Kingdom,51.8097823,-0.2376744,London,United Kingdom,London United Kingdom,51.5072178,-0.1275862,,, ,,
The Twilight Saga: Breaking Dawn - Part 1,2011,"Adventure, Fantasy, Romance",117,United States,Squamish,Canada,Squamish Canada,49.7016339,-123.1558121,Ucluelet,Canada,Ucluelet Canada,48.9415997,-125.5463445,Paraty,Brazil,Paraty Brazil,-23.2200406,-44.7204077,Rio de Janeiro,Brazil,Rio de Janeiro Brazil,-22.9068467,-43.1728965,St. Thomas,US Virgin Islands,St. Thomas US Virgin Islands,18.3380965,-64.8940946
Our Fault,2025,"Romance, Drama",110,United States,Málaga,Spain,Málaga Spain,36.7178196,-4.425557,,, ,,,,, ,,,,, ,,,,, ,,
Your Fault,2024,"Drama, Romance",117,United States,Madrid,Spain,Madrid Spain,40.4167279,-3.7032905,Marbella,Spain,Marbella Spain,36.5102831,-4.8852579,,, ,,,,, ,,,,, ,,
Closer,2004,"Drama, Romance",104,United States,London,United Kingdom,London United Kingdom,51.5072178,-0.1275862,,, ,,,,, ,,,,, ,,,,, ,,
After,2019,"Drama, Romance",106,United States,Vancouver,Canada,Vancouver Canada,49.2827291,-123.1207375,Victoria,Canada,Victoria Canada,48.4284207,-123.3656444,North Vancouver,Canada,North Vancouver Canada,49.3199816,-123.0724139,,, ,,,,, ,,
Me Before You,2016,"Drama, Romance",110,United States,Pembroke,United Kingdom,Pembroke United Kingdom,51.6762456,-4.91837,London,United Kingdom,London United Kingdom,51.5072178,-0.1275862,Majorca,Spain,Majorca Spain,39.6952629,3.0175712,Paris,France,Paris France,48.8575475,2.3513765,,, ,,
Anyone But You,2023,"Romance, Comedy",103,United States,Sydney,Australia,Sydney Australia,-33.8622503,151.207684,New South Wales, Australia,New South Wales  Australia,-31.2532183,146.921099,,, ,,,,, ,,,,, ,,
9 Songs,2004,"Drama, Music, Romance",70,United States,London,United Kingdom,London United Kingdom,51.5072178,-0.1275862,,Norway, Norway,60.472024,8.468946,,, ,,,,, ,,,,, ,,
